jobname,lr,niter,nsample,linplugin,ef,dlr_rank,agent,dataset,data_dim,dgp_type,dgp_neurons_str,model_type,model_neurons_str,ntrain
expt5-00,0.0,0,100,0,1,0,bong_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-01,0.0001,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-02,0.0005,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-03,0.001,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-04,0.005,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-05,0.01,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-06,0.05,10,100,0,1,0,blr_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-07,0.0001,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-08,0.0005,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-09,0.001,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-10,0.005,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-11,0.01,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-12,0.05,10,100,0,1,0,bog_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-13,0.0001,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-14,0.0005,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-15,0.001,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-16,0.005,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-17,0.01,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
expt5-18,0.05,10,100,0,1,0,bbb_fc,reg,50,mlp,20_20_1,mlp,10_1,500
